DATE,Observation time,Showalter index,Lifted index,LIFT computed using virtual temperature,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
2006 AUG 8, 060808/0000,2.43,-4.59,-5.61,25.1,18.9,22.3,41.2,3803.82,4121.39,-0.27,0,118.59,118.2,946.75,953.59,295.84,953.59,354.5,299.89,18.63,5719,40.04
2006 AUG 9, 060809/0000,-3.33,-7.71,-9.01,32.3,23.5,24.5,48,5097.16,5436.32,-0.13,-0.1,N/A,N/A,949.76,950.54,298.95,977.75,365.93,300.9,21.99,5765,58.27
2006 AUG 10, 060810/0000,-1.26,-2.3,-2.88,36.9,21.9,23.5,45.4,1549.03,1662.92,-37.38,-19.04,120.96,120.82,685.14,755.4,294.74,956.21,349.05,298.56,17.32,5756,57.26
2006 AUG 11, 060811/0000,-0.42,-2.33,-2.59,32.1,21.7,24.1,45.8,1425.64,1536.07,-34.7,-28.48,136.65,136.76,797.22,848.15,293.75,962.43,343.8,297.01,16.16,5716,50.52
2006 AUG 17, 060817/0000,4.53,-1.37,-1.83,29.4,17.7,20.3,38,367.86,479.53,-0.42,0,285.97,285.02,940.26,945.11,293.61,945.11,345.96,298.4,16.35,5712,50.69
2006 AUG 18, 060818/0000,0.98,-2.45,-2.77,33.2,20,23.1,43.1,1939.78,2076.17,-28.84,-22.57,N/A,N/A,859.11,874.72,294.21,946.34,348.34,298.91,16.93,5739,54.45
2006 AUG 19, 060819/0000,0,-3.47,-3.89,36,21.3,22.9,44.2,2836.97,2978.72,-29.89,-23.97,N/A,N/A,878.58,886.78,294.32,938.6,350.08,299.71,17.19,5734,55.8
2006 AUG 21, 060821/0000,-1.39,-1.51,-1.86,37.1,21.3,23.5,44.8,355.78,440.49,-1.07,0,N/A,N/A,905.48,921.83,294.81,944.51,351.31,299.67,17.7,5760,62.56
2006 AUG 22, 060822/0000,0.61,-3.93,-4.49,34.6,20.6,21.7,42.3,3636.01,3821.47,0,0,N/A,N/A,959.97,965.4,296.48,965.46,355.54,299.49,19.14,5742,58.72
2006 AUG 23, 060823/0000,3.98,-3.14,-3.71,16.7,15.7,23.7,39.4,2745.03,3005.24,-4.97,-4.67,124.17,123.5,932.51,934.8,295.13,935.27,354.32,300.85,18.18,5770,45.75
2006 AUG 24, 060824/0000,1.8,-4.33,-5.08,28.2,19,23.5,42.5,3301.65,3519.2,-0.51,-0.07,117.26,116.36,943.15,950.21,295.59,954.88,353.14,299.53,18.3,5741,50.94
2006 AUG 25, 060825/0000,0.22,-4.63,-5.26,37,20.6,22.9,43.5,3897.12,4114.57,0,0,N/A,N/A,968.51,969.68,296.83,969.92,356.46,299.44,19.48,5739,56.46
2006 AUG 26, 060826/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,531.23,669.4,-8.29,-8.18,N/A,N/A,932.68,934.37,297.69,968.51,360.97,300.45,20.54,N/A,53.32
2006 AUG 27, 060827/0000,3.04,-3.45,-4.17,28.9,15.7,26.7,42.4,2230.13,2371.85,-126.91,-21.7,136.85,136.85,732.49,869.07,294.48,943.35,350.02,299.45,17.41,5745,44.1
2006 AUG 28, 060828/0000,0.56,-2.82,-3.58,25,20.8,23.7,44.5,1308.66,1489.41,-24.92,-22.35,N/A,N/A,863.89,875.82,293.05,932.93,345.55,298.94,15.97,5734,43.1
2006 AUG 29, 060829/0000,0.6,-4.04,-4.84,24.7,21.1,22.1,43.2,2105.91,2324.55,-1.87,-0.17,N/A,N/A,925.75,941.94,295.11,950.39,351.69,299.45,17.87,5732,48.48
2006 AUG 31, 060831/0000,0.04,-3.18,-3.72,33.7,21.8,24.5,46.3,2528.28,2658.54,-18.77,-14.96,130.34,129.29,887.85,901.55,292.59,944.2,341.87,297.45,15.33,5690,45.88
2006 SEP 5, 060905/0000,-0.44,-4.52,-4.98,32.6,22.2,24.5,46.7,3074.77,3226.24,0,0,124.51,125.75,945.9,945.9,293.61,945.9,345.84,298.33,16.32,5701,48.17
2006 SEP 7, 060907/0000,2.67,-5.42,-6.35,28,18.6,21.3,39.9,5572.44,5829.27,-2.54,-2.47,N/A,N/A,939.02,939.99,297.54,964.89,360.87,300.61,20.5,5746,57.71
2006 SEP 8, 060908/0000,-2.58,-4.66,-5.25,38.2,22.4,24.1,46.5,4424.56,4619.79,-12.79,-9.4,N/A,N/A,896.95,913.97,296.8,950.7,359.68,301.14,19.82,5784,63.82
2006 SEP 9, 060909/0000,-2.29,-3.74,-4.2,39,22.2,24.5,46.7,2763.66,2889.03,-52.5,-36.84,N/A,N/A,762.32,778.98,295.66,946.04,354.95,300.41,18.54,5781,63.95
2006 SEP 10, 060910/0000,0.16,-1.33,-1.71,29,21.6,23.9,45.5,734.64,848.47,-17.49,-7.15,142.26,141.9,819.87,830.51,292.43,956.71,339.31,296.16,14.98,5681,43.1
2006 SEP 11, 060911/0000,-0.04,-6.36,-6.82,33.5,22.7,24.7,47.4,3385.4,3545.99,-0.11,0,N/A,N/A,943.54,948.76,293.62,948.76,345.41,298.08,16.29,5676,46.06
2006 SEP 12, 060912/0000,-3.04,-4.2,-4.77,39.6,22.6,25.9,48.5,3349.51,3497.89,-95.81,-85.63,118.77,118.76,786.62,807.03,295.69,949.51,354.53,300.13,18.56,5767,61.91
2006 SEP 13, 060913/0000,-2.28,-4.45,-4.98,39,23.1,24.3,47.4,2574.18,2698.65,-5.91,-6.3,N/A,N/A,921.47,921.9,295.94,972.77,351.76,298.31,18.34,5738,61.85
2006 SEP 15, 060915/0000,1.47,0.17,0.01,32.3,20.6,22.5,43.1,1127.54,1163.73,-44.61,-34.66,130.57,130.43,709.61,792.76,291.59,946.19,337.65,296.26,14.35,5698,49.89
2006 SEP 17, 060917/0000,-1.69,-3.73,-4.23,37.7,21.6,24.1,45.7,3190.76,3370.15,-43.5,-40.28,N/A,N/A,873.73,875.9,296,948.6,356.13,300.52,19,5783,60.58
2006 SEP 19, 060919/0000,-2.03,-7.16,-8.18,26,22.2,25.3,47.5,4846.82,5155.55,-1.95,-0.78,117.48,117.4,933.25,942.76,297.46,960.05,361.33,300.96,20.45,5777,52.5
2006 SEP 21, 060921/0000,0.9,-3.18,-3.52,36.1,20.3,20.7,41,1532.24,1694.09,0,0,133.1,131.74,968.96,970.33,296.96,974.44,356.31,299.19,19.55,5751,64.95
2006 SEP 24, 060924/0000,-1.38,-3.75,-4.73,34.6,22.2,22.9,45.1,2256.22,2469.98,-7.01,-6.1,N/A,N/A,900.45,905.14,296.15,966.58,353.78,299.07,18.71,5754,54.1
2006 SEP 25, 060925/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,327.9,399.96,0,0,N/A,N/A,961.1,964.34,296.55,973.51,354.5,298.85,19.07,N/A,51.04
2006 SEP 26, 060926/0000,-2.41,-4.16,-4.68,37.8,23.8,25.7,49.5,1088.85,1181.13,-31.96,-23.43,154.03,154,841.32,858.4,293.75,962.27,343.85,297.03,16.18,5701,52.44
2006 SEP 27, 060927/0000,-2.02,-4.36,-4.91,29,22.2,24.5,46.7,3077.25,3285.17,-26.61,-18.62,117.77,118.49,849.72,870.05,296.02,955.77,355.02,299.9,18.8,5755,53.97
2006 SEP 28, 060928/0000,-1.2,-7,-7.59,30.7,21.7,25.5,47.2,4310.49,4550.98,-1.04,-0.26,N/A,N/A,940.26,947.18,296.64,958.01,357.6,300.31,19.47,5752,53.95
2006 SEP 29, 060929/0000,-0.46,-5.5,-6.21,23,21,23.5,44.5,3266.85,3523.81,-3.1,-2.4,N/A,N/A,930.54,934.85,297.25,966.01,359.19,300.22,20.05,5776,55.24
2006 SEP 30, 060930/0000,-1.86,-3.94,-4.9,21.4,22.4,23.9,46.3,2617.8,2860.25,-31.5,-29.5,N/A,N/A,863.16,871.26,295.02,939.33,353.15,300.37,17.97,5759,49.6
2006 OCT 1, 061001/0000,1.73,-5.71,-6.93,21.7,17.7,24.7,42.4,1018.01,1342.49,-6.89,-2.79,N/A,N/A,891.78,932.18,297.65,959.14,362.48,301.25,20.73,5786,46.47
2006 OCT 2, 061002/0000,1.13,-5.48,-6.12,20.5,19.3,22.7,42,3288.36,3614.99,-0.05,-0.03,120.72,120.71,951.09,951.49,298.08,971.88,362.41,300.54,20.99,5765,52.67
2006 OCT 3, 061003/0000,0.23,-5.45,-6.51,29.7,19.9,24.1,44,4337.99,4646.54,-0.84,-0.73,111.25,111.26,939.2,942.19,297.54,971.77,359.67,300.01,20.31,5772,49.98
2006 OCT 4, 061004/0000,-3.53,-4.45,-5.53,39.1,22.5,24.7,47.2,3766.53,3981.66,-85.69,-46.81,117.3,117.3,663.94,692.68,297.59,950.82,363.64,301.93,20.82,5825,64.84
2006 OCT 7, 061007/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.22,30.64,-80.3,-48.79,N/A,N/A,620.82,795.89,294.01,953.08,346.38,298.09,16.69,N/A,52.51
2006 OCT 8, 061008/0000,0.97,-2.33,-2.6,34.4,20.3,23.1,43.4,1771.27,1868.28,-30.28,-15.58,128.71,128.91,862.65,884.25,293.39,936.73,346.38,298.94,16.29,5721,53.9
2006 OCT 14, 061014/0000,-6.85,-7.86,-8.61,44.8,27.2,28.3,55.5,1037.59,1172.74,-17.15,-12.86,N/A,N/A,846.77,858.97,295.76,960.86,352.91,299.18,18.37,5729,57.44
2006 OCT 15, 061015/0000,-3.31,-6.84,-7.44,37.5,24.4,26.9,51.3,4361.08,4538.61,-0.78,-0.16,130.9,130.85,938.63,947.16,295.12,964.3,349.45,298.23,17.61,5688,51.23
2006 OCT 16, 061016/0000,-3.69,-4.74,-5.78,35.1,23.5,24.9,48.4,2611.47,2803.44,-75.12,-47.72,N/A,N/A,739.71,752.75,295.88,938.1,357.37,301.36,19,5789,58.79
2006 OCT 17, 061017/0000,-0.81,-5.15,-5.82,36,20.7,24.5,45.2,4093.16,4268.49,-61.36,-55.48,115.24,115.25,866.62,872.96,296.83,953.36,359.33,300.92,19.81,5790,64.55
2006 OCT 18, 061018/0000,-6.89,-9.6,-10.56,41.3,26.8,28.3,55.1,5212.48,5495.68,-1.53,-0.18,118.14,117.26,915.14,952.34,297.82,969.4,361.47,300.49,20.7,5734,57.17
2006 OCT 19, 061019/0000,-0.47,-3.92,-4.55,34.9,21.2,22.7,43.9,2662.89,2856.24,-4.4,-3.38,105.12,105.78,925.73,928.53,296.13,955.85,355.49,299.99,18.92,5741,58.47
2006 OCT 21, 061021/0000,-2.29,-2.41,-2.66,38.6,23.1,25.7,48.8,1028.16,1102.29,-111.89,-93.68,133.99,133.65,752.14,762.22,291.99,925.38,342.43,298.56,15.11,5726,51.85
2006 OCT 22, 061022/0000,-0.5,-5.59,-6.19,35.7,22.1,23.3,45.4,3998.58,4168.81,-8.71,-5.78,115.55,115.36,909.95,916.93,295.68,956.49,353.3,299.49,18.38,5733,57.34
2006 OCT 25, 061025/0000,-0.77,-5.55,-6.16,36.8,19.9,26.9,46.8,3705.43,3885.24,-83.56,-47.9,110.18,110.17,791.02,825.36,295.93,939.23,357.42,301.3,19.07,5775,57.19
2006 OCT 26, 061026/0000,-2.21,-7.7,-8.5,39.1,22.3,24.9,47.2,5952.53,6209.16,-5.46,-2.98,104.51,104.51,925.07,932.9,297.65,944.45,365.15,302.57,21.04,5772,65.26
2006 OCT 28, 061028/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,184.8,228.02,-7.77,-7.87,N/A,N/A,925.31,927.03,295.12,950.41,351.73,299.46,17.85,N/A,52.72
2006 OCT 29, 061029/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.92,110.14,-2.41,-0.73,N/A,N/A,915.81,936.75,292.32,956.03,338.99,296.11,14.88,N/A,39.7
2006 OCT 31, 061031/0000,-1.04,-4.45,-5.09,38.9,21.4,23.1,44.5,3985.64,4144.93,-11.34,-7.7,105.08,105.07,900.06,913.82,296.66,954.13,358.37,300.69,19.59,5767,66.56
2006 NOV 1, 061101/0000,2.43,0.26,0,28.8,18.2,22.7,40.9,8.23,23.9,-170.81,-107.15,385.49,383.97,545.09,589.56,292.2,921.98,343.79,299.08,15.37,5759,51.23
2006 NOV 2, 061102/0000,-1,-6.04,-6.84,33.7,22.3,24.3,46.6,3513.59,3710.14,-28.44,-24.58,109.94,109.83,885.57,890.66,295.42,948.3,353.45,299.95,18.23,5732,53.83
2006 NOV 3, 061103/0000,12.68,7.07,6.7,-1.5,3.3,23.3,26.6,0,0,0,0,N/A,N/A,N/A,N/A,283.92,832.78,328.17,299.18,10.27,5770,18.29
2006 NOV 4, 061104/0000,0.33,-2,-2.59,35.1,18.5,25.5,44,2303.18,2408.88,-244.94,-192.21,120.47,120.13,626.92,648.58,295.35,947.1,353.32,300,18.18,5799,59.4
2006 NOV 6, 061106/0000,-0.55,-1.32,-1.67,31.3,21.7,25.1,46.8,565.75,632.79,-153.8,-117.95,137.51,137.42,656.86,680.99,291.17,924.85,339.26,297.77,14.31,5710,46.07
2006 NOV 7, 061107/0000,-3.08,-4.73,-5.19,40.6,23.8,24.5,48.3,3227.64,3344.39,-21.26,-18.37,121.09,121.06,883.07,888.37,295.74,962.27,352.56,299.03,18.32,5729,63.41
2006 NOV 8, 061108/0000,-2.8,-4.74,-5.2,37,22.8,25.5,48.3,2917.39,3065.64,-57.8,-42.31,130,129.85,801.81,834.91,295.34,940.97,354.32,300.54,18.29,5765,60.36
2006 NOV 9, 061109/0000,-1.1,-4.01,-4.45,36.2,22.7,23.9,46.6,1186.24,1307.61,-0.91,-0.29,N/A,N/A,938.81,945.82,294.54,962.42,347.16,297.79,16.99,5697,53.81
2006 NOV 10, 061110/0000,-0.96,-1.86,-2.25,37.1,21.5,23.7,45.2,1930.22,2029.54,-77.5,-65.01,157.87,161.23,781.59,804.71,293.2,923.06,347.81,300.02,16.31,5751,55.94
2006 NOV 13, 061113/0000,0.28,-3.43,-4.39,35.2,19.8,23.1,42.9,3274.54,3490.56,-23.77,-14.65,N/A,N/A,862.27,886.35,295.78,937.31,357.06,301.32,18.87,5772,56.97
2006 NOV 14, 061114/0000,0.63,-4.16,-5.09,29.9,20.7,24.1,44.8,2618.6,2823.33,-37.84,-31.05,N/A,N/A,873.3,882.04,293.29,923.55,348.08,300.04,16.37,5719,45.33
2006 NOV 15, 061115/0000,-1.74,-3.31,-3.79,38.6,22.1,23.9,46,3098.42,3228.96,-65.36,-60.03,122.14,121.99,838.13,851.76,294.94,941.01,352.47,300.13,17.82,5767,61.25
2006 NOV 16, 061116/0000,-1.51,-4.28,-5.09,38.1,21.6,23.5,45.1,3486.11,3674.36,-29.43,-17.06,N/A,N/A,868.03,882.76,295.92,933.26,358.45,301.85,19.18,5769,61.42
2006 NOV 17, 061117/0000,3.03,-3.52,-4.45,30.3,17.3,23.3,40.6,3061.99,3299.19,-7.84,-1.5,115.04,114.99,893.5,935.35,295.28,943.11,353.68,300.28,18.18,5741,47.89
2006 NOV 18, 061118/0000,-0.73,-2.32,-2.67,33.9,22.1,24.7,46.8,463.03,528.09,-57.55,-29.21,N/A,N/A,677.29,730.24,292.39,939.85,341.74,297.64,15.22,5718,49.95
2006 NOV 19, 061119/0000,-1.71,-4.21,-4.77,37.5,21,25.5,46.5,3625.76,3771.13,-114.61,-81.17,120.5,120.35,736.13,778.87,296.17,944.78,357.62,301.05,19.23,5802,63.37
2006 NOV 24, 061124/0000,-2.1,-7.07,-7.62,38.3,23.8,24.5,48.3,4326.62,4496.66,-0.55,-0.38,110.75,110.75,942.68,945.35,296.12,967,353.56,298.99,18.66,5717,58.22
2006 NOV 26, 061126/0000,-1.23,-5.85,-6.97,28.5,21.1,25.5,46.6,3513.92,3815.84,-39.39,-21.91,N/A,N/A,854.65,881.61,296.02,936.49,358.37,301.65,19.32,5770,46.11
2006 NOV 27, 061127/0000,-1.09,-5.81,-6.51,35.5,22.1,24.1,46.2,1062.84,1241.1,-12.03,-8.08,304.51,302.43,910.96,920.52,295.69,945.92,355.14,300.45,18.59,5731,56.2
2006 NOV 28, 061128/0000,0.15,-1.6,-2.14,34.2,19.9,24.1,44,217.85,291.56,-93.18,-69.97,N/A,N/A,752.68,778.54,294.21,943.73,348.74,299.14,16.99,5749,50.29
2006 NOV 29, 061129/0000,-0.12,-3.94,-4.83,23.4,20.8,24.5,45.3,700.45,903.13,-23.28,-14.22,N/A,N/A,858.39,896.25,293.99,928.89,350.27,300.27,17.03,5758,41.74
2006 NOV 30, 061130/0000,4.76,-1.55,-2.23,21.1,15.9,21.9,37.8,1205.32,1399.46,-22.46,-10.41,N/A,N/A,861.56,901.89,293.87,929.16,349.7,300.13,16.9,5751,43.02
2006 DEC 1, 061201/0000,-0.49,-3.82,-4.67,20.2,21.8,22.9,44.7,2823.42,3062.68,-15.44,-10.45,128.87,128.84,895.53,907.11,294.43,935.68,351.06,300.09,17.37,5745,42.99
2006 DEC 2, 061202/0000,1.72,3.43,2.91,14.9,18.7,22.3,41,75.26,77.05,-1117.57,-937.29,248.22,248.16,344.29,344.36,290,901.6,338.41,298.74,13.6,5775,31.9
2006 DEC 4, 061204/0000,6.48,-1.05,-1.85,6.7,11.9,24.9,36.8,1712.05,1813.89,-278.09,-109.09,133.65,133.6,555.77,607,291.98,895.69,347.21,301.34,15.58,5793,33.14
2007 JAN 9, 070109/0000,4.73,4.7,4.17,20.7,15.1,23.1,38.2,0,0,0,0,N/A,N/A,N/A,N/A,286.54,846.88,334.53,300.48,11.58,5778,35.42
2007 JAN 10, 070110/0000,5.1,1.83,1.16,-9.5,15.5,22.5,38,0,0,0,0,N/A,N/A,N/A,N/A,289.22,880.23,338.87,299.99,13.33,5771,27.27
2007 JAN 11, 070111/0000,8.76,8.65,8.26,14.5,10.3,21.3,31.6,0,0,0,0,N/A,N/A,N/A,N/A,285.32,842.48,331.15,299.67,10.76,5781,31.8
2007 JAN 12, 070112/0000,6.54,2.9,2.19,18.3,13.9,20.9,34.8,0,0,0,0,N/A,N/A,N/A,N/A,290.73,901.83,341.15,299.47,14.32,5780,34.84
2007 JAN 13, 070113/0000,4.86,2.3,1.54,2.1,15.9,20.9,36.8,6.8,17.34,-584.05,-374.02,376.69,375.13,418.06,428.25,291.41,912.26,342.16,299.18,14.72,5781,33.26
2007 JAN 16, 070116/0000,6.19,1.36,0.71,-15.7,13.9,22.9,36.8,0,0,0,0,N/A,N/A,N/A,N/A,290.62,906.28,340.03,298.93,14.25,5761,25.79
2007 JAN 17, 070117/0000,15.19,5.29,4.62,-19.7,1.3,20.3,21.6,0,0,0,0,N/A,N/A,N/A,N/A,289.97,901.72,338.27,298.69,13.65,5785,19.31
2007 JAN 18, 070118/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,15.19,0,-1.97,N/A,N/A,N/A,917.16,292.63,925.34,345.04,299.21,15.71,N/A,19.28
2007 JAN 19, 070119/0000,12.08,4.55,3.94,-10.5,6.3,21.3,27.6,0,0,0,0,N/A,N/A,N/A,N/A,288.69,887.42,335.79,298.73,12.79,5771,22.75
2007 JAN 20, 070120/0000,13.85,8.03,7.63,-16.1,0.5,23.5,24,0,0,0,0,N/A,N/A,N/A,N/A,282.39,814.79,326.24,299.42,9.37,5774,14.78
2007 APR 16, 070416/0000,1.39,-1.97,-2.28,23.3,18.5,25.5,44,216.94,291.41,-168.64,-88.53,355.86,359.78,646.76,720.37,291.97,906.39,345.4,300.32,15.46,5758,43.66
2007 APR 26, 070426/0000,N/A,1.87,1.12,N/A,N/A,25.7,N/A,0,0,0,0,N/A,N/A,N/A,N/A,287.84,837.42,340.67,302.83,13.81,5797,0.99
2007 APR 27, 070427/0000,-4.09,-4.02,-4.99,28.3,23.3,24.9,48.2,3134.03,3381.44,-111.62,-93.81,N/A,N/A,706.81,783.87,296.49,942.72,359.53,301.55,19.64,5814,56.33
2007 APR 28, 070428/0000,1.24,-0.82,-1.55,25.7,18.9,22.9,41.8,593.76,687.04,-229.23,-132.97,N/A,N/A,557.97,598.58,293.93,932.81,349.36,299.86,16.89,5777,48.3
2007 APR 29, 070429/0000,-3.47,-4.81,-5.99,28.7,22.7,25.1,47.8,3672.83,3844.33,-150.25,-105.29,106.59,122.35,711.45,747.72,295.78,913.01,361.44,303.6,19.39,5809,51.67
2007 APR 30, 070430/0000,-5.75,-6,-7.3,37.3,24.1,27.5,51.6,4860.25,5176.81,-101.19,-90.43,N/A,N/A,789.87,800.29,296.98,927.58,364.81,303.46,20.57,5805,54.93
2007 MAY 2, 070502/0000,1.1,-5.92,-7.34,37.4,18.5,23.3,41.8,4437.39,4742.3,-2.04,-0.11,N/A,N/A,932.49,942.02,298.13,942.63,368.04,303.23,21.78,5792,69.63
2007 MAY 3, 070503/0000,-3.32,-9,-9.99,41.6,23.4,24.7,48.1,6318.41,6589.98,-1.12,-0.52,102.38,102.39,936.25,941.26,298.86,950.29,370.58,303.26,22.52,5797,72.63
2007 MAY 4, 070504/0000,-2.71,-6.31,-7.36,28.9,22.7,24.1,46.8,4393.63,4681.64,-2.6,-1.45,N/A,N/A,931.68,937.28,297.59,949.92,363.82,302.01,20.84,5769,58.65
2007 MAY 6, 070506/0000,-0.56,-0.02,-0.23,33.3,18.9,27.9,46.8,61.9,102.83,-422.46,-360.12,N/A,N/A,600.12,624.92,292.31,926.72,343.48,298.76,15.4,5781,47.66
2007 MAY 8, 070508/0000,-0.51,-5.36,-6.04,31.7,20.5,23.9,44.4,3465.95,3720.56,-17.48,-11.35,106.92,106.82,896.58,902.1,296.41,930.71,361.31,302.57,19.77,5763,56.45
2007 MAY 9, 070509/0000,5.18,-2.06,-2.54,30.5,15.9,18.7,34.6,2539.3,2752.59,0,0,N/A,N/A,951.66,951.66,296.84,951.66,359.68,301.08,19.97,5742,59.49
2007 MAY 12, 070512/0000,-2.86,-5.15,-6.18,20.6,22.4,26.5,48.9,2679.85,2906.12,-68.71,-62.91,113.22,113.23,840.21,843.85,294.67,916.09,355.54,302.16,18.09,5777,47.94
2007 MAY 13, 070513/0000,1.18,-4.27,-5.39,27.8,19.8,22.9,42.7,1862.55,2104.76,-14.11,-9.77,149.93,149.93,896.05,913.16,294.8,927.69,354.1,301.22,17.94,5754,45.46
2007 MAY 14, 070514/0000,1.1,-3.89,-5.02,28.4,19.4,23.1,42.5,3529.18,3780.92,-14.05,-6.37,106.91,106.6,878.75,904.5,294.78,919.97,355.37,301.92,18.07,5760,46.03
2007 MAY 21, 070521/0000,1.32,1.02,0.36,25.8,18.6,23.5,42.1,0,0,0,0,N/A,N/A,N/A,N/A,290.63,882.63,343.85,301.2,14.46,5778,44.01
2007 MAY 22, 070522/0000,1.77,-4.47,-5.57,29.2,19.2,22.5,41.7,2142.49,2422.09,-29.73,-26.14,N/A,N/A,884.51,891.47,295.49,935.72,355.94,301.18,18.56,5773,48.92
2007 MAY 23, 070523/0000,0.35,-0.54,-1.23,29.9,18.7,24.7,43.4,28.09,113.42,-238.87,-170.34,282.79,281.03,584.41,674.68,292.19,883.26,350.2,302.77,15.99,5778,49.22
2007 MAY 25, 070525/0000,-2.23,-4.28,-4.82,35.1,22.5,25.1,47.6,1641.94,1815.15,-33.14,-23.21,N/A,N/A,831.05,848.22,295.13,946.72,352.4,299.81,17.94,5763,54.66
2007 MAY 26, 070526/0000,-1.22,-4.47,-5.13,35.9,21.3,24.5,45.8,3346.76,3552.33,-15.49,-6.76,114.94,115.05,849.95,927.75,295.77,943.42,355.95,300.76,18.74,5770,55.55
2007 MAY 27, 070527/0000,-3.55,-6.73,-7.69,39.3,23,23.9,46.9,5640.71,5921.06,-3.71,-3.67,99.86,99.84,929.12,931.37,299.26,963.28,370.32,302.5,22.77,5799,72.14
2007 MAY 28, 070528/0000,2.67,-1.56,-1.77,31.9,19.6,21.5,41.1,922.53,1011.64,-2.21,-0.62,N/A,N/A,927.36,938.45,293.18,950.26,343.34,297.5,15.82,5697,52.39
2007 JUN 1, 070601/0000,-1.31,-5.2,-5.67,36,22.2,25.3,47.5,2491.51,2643.46,-13.59,-9.1,120.57,120.93,892.58,902.76,294.72,947.18,350.44,299.34,17.47,5726,54.35
2007 JUN 2, 070602/0000,-4.15,-5.74,-6.33,39.3,23.7,25.1,48.8,1630.93,1817.89,-38.55,-43.75,N/A,N/A,873.69,875.63,297.61,960.94,361.93,301.04,20.74,5801,66.23
2007 JUN 6, 070606/0000,-1.37,-4.49,-5.17,33.6,22.2,23.9,46.1,2012.29,2202.91,-9.44,-4.73,N/A,N/A,901.35,915.15,295.34,948.73,353.01,299.84,18.16,5743,53.39
2007 JUN 10, 070610/0000,-3.47,-5.54,-6.12,37,23.2,24.9,48.1,2448.35,2640.07,-14.67,-10.75,N/A,N/A,867.51,889.37,297.17,955.8,360.61,301.06,20.16,5787,66.56
2007 JUN 12, 070612/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.81,63.32,-16.76,-13.38,N/A,N/A,864.75,888.23,295.95,959.99,353.93,299.43,18.66,N/A,56.81
2007 JUN 15, 070615/0000,-0.5,-3.01,-3.29,36.6,21.6,23.9,45.5,1073.99,1172.31,-22.16,-16.35,N/A,N/A,857.03,873.47,294.18,952.89,347.15,298.29,16.8,5724,55.83
2007 JUN 16, 070616/0000,1.41,-1.82,-2,33.6,21.4,22.5,43.9,1061.29,1133.1,0,0,135.83,135.83,955.71,955.71,292.32,955.71,339.06,296.14,14.96,5667,48.63
2007 JUN 18, 070618/0000,2.1,-1.7,-1.89,33.4,20.1,21.3,41.4,789.64,870.34,-1.3,-0.98,129.81,128.6,937.9,939.89,294.03,963.85,344.75,297.15,16.43,5711,55.75
2007 JUN 19, 070619/0000,1.86,1.08,0.94,35.2,18.4,19.3,37.7,338.61,397.54,-27.78,-14.11,N/A,N/A,723.48,890.23,296.03,963.78,353.7,299.2,18.62,5787,70.46
2007 JUN 20, 070620/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.48,100.68,-51.98,-49.89,N/A,N/A,839.62,841.72,294.7,951.72,349.61,298.93,17.37,N/A,43
2007 JUN 21, 070621/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.83,28.39,-79.25,-41.55,597,N/A,666.52,835.66,292.12,950.31,339.08,296.42,14.77,N/A,41.56
2007 JUN 22, 070622/0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.24,108,-7.6,-3.9,N/A,N/A,890.75,903.95,294.82,949.75,350.47,299.22,17.54,N/A,43.46
2007 JUN 24, 070624/0000,-0.51,-1.91,-2.18,36,20.6,23.5,44.1,1097.93,1158.51,-111.3,-87.56,N/A,N/A,660.12,710.22,295.11,952.39,351.32,299.28,17.79,5780,64.41
2007 JUN 26, 070626/0000,-0.4,-4.15,-4.85,17.6,20.4,23.1,43.5,1581.06,1787.56,-25.04,-18.48,190.36,190.38,865.19,888.58,297.05,955.92,359.97,300.93,20.01,5800,69.24
2007 JUN 27, 070627/0000,1.14,-2.67,-3.04,30.9,18.7,24.7,43.4,1267.32,1364.13,-152.09,-80,N/A,N/A,684.03,735.85,293.76,920.72,350.61,300.79,16.95,5767,51.07
2007 JUN 28, 070628/0000,-0.41,-4.55,-5.18,37.5,20.5,23.1,43.6,1425.41,1570.11,-13.81,-11.06,216.32,216.32,907,925.73,296.96,949.76,360.62,301.4,20.03,5783,71.47
2007 JUN 29, 070629/0000,-0.95,30.82,30.98,37.7,20.6,22.9,43.5,0,0,0,0,N/A,N/A,N/A,N/A,275.96,954.92,293.36,279.54,12.14,5797,57.84
