DATE,Observation time,Showalter index,Lifted index,LIFT computed using virtual temperature,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Equivalent potential temp [K] of the LCL,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
2003 FEB 25, 030225/0000,2758.28,2969.02,-3.12,-2.71,N/A,937.85,296.23,958.77,355.5,299.84,18.96,55.94,-1.5,-7.52,-8.38,23.3,24.1,47.4,5728,37.5,N/A,934.69
2003 FEB 26, 030226/0000,2382.37,2543.26,-82.85,-73.97,135.67,808.29,294.34,944.8,349.16,299.18,17.09,53.33,-4.93,-5.95,-6.55,25.1,28.1,53.2,5751,39.5,136.42,794.25
2003 FEB 28, 030228/0000,3786.23,4096.41,-35.22,-30.46,N/A,872.05,295.54,951.95,353.4,299.76,18.29,40.71,-1.87,-5.43,-6.53,22.3,25.5,47.8,5768,31.5,N/A,858.02
2003 MAR 1, 030301/0000,2358.11,2663.49,-14.16,-9.51,138.74,913.06,294.74,938.5,352.02,300.16,17.7,38.04,-0.04,-4.55,-5.62,20.5,24.9,45.4,5745,24.5,139.32,905.57
2003 MAR 2, 030302/0000,1601.14,1934.41,-11.78,-9.63,N/A,904.41,296.2,952.98,356.32,300.33,19.04,40.68,-0.47,-4.79,-5.98,21.1,23.5,44.6,5745,25.9,N/A,896.13
2003 MAR 5, 030305/0000,990.27,1247.34,-3.43,-1.65,N/A,932.37,295.53,947.09,354.17,300.18,18.39,42.6,1.97,-3.68,-4.51,19.1,22.1,41.2,5760,25.9,N/A,923.65
2003 MAR 6, 030306/0000,4139.87,4378.89,-0.22,-0.05,N/A,949.95,296.35,957.83,356.23,300.05,19.13,54,-2.01,-6.56,-7.31,23.5,23.5,47,5751,32.5,N/A,946.59
2003 MAR 7, 030307/0000,2271.04,2552.01,-1.75,0,148.21,938.54,294.89,938.54,352.67,300.3,17.91,40.92,5.6,-2.58,-3.29,15.3,21.3,36.6,5755,17.9,148.31,930.15
2003 MAR 8, 030308/0000,1639.68,1925,-25.84,-21.96,N/A,880.14,296.09,945.19,357.17,300.93,19.07,48.68,3.3,-2.07,-3.28,16.7,21.7,38.4,5825,24.7,N/A,865.12
2003 MAR 9, 030309/0000,2751.78,3076.19,-13.25,-3.83,N/A,916.57,294.36,930.21,351.7,300.54,17.48,33.01,4.18,-4.25,-5.3,16.5,23.5,40,5748,22.3,N/A,891.09
2003 MAR 10, 030310/0000,5414.95,5705.67,-1.04,-0.66,122.07,942.67,296.16,956.52,355.54,299.97,18.92,42.39,0.17,-5.93,-7.1,20.9,23.9,44.8,5767,24.7,116.04,938.86
2003 MAR 11, 030311/0000,5938.03,6304.31,-7.37,-5.85,109.37,919.5,297.28,956.54,361.01,301.09,20.32,45.33,-2.26,-7.67,-9,22.8,25.1,47.9,5766,27.8,109.47,912.22
2003 MAR 12, 030312/0000,809.46,1026.5,0,0,169.61,951.49,294.38,951.49,348.23,298.6,17.03,45.35,-1.67,-1.6,-2.56,22.3,23.1,45.4,5763,35.3,172.65,951.49
2003 MAR 14, 030314/0000,1751.53,2036.28,-26.42,-30.9,N/A,865.4,296.14,964.06,354.17,299.28,18.75,48.2,-3.29,-3.88,-5,23.7,23.7,47.4,5784,36.9,N/A,865.84
2003 MAR 15, 030315/0000,2367.9,2629.47,-129.41,-103.97,135.11,798.71,294.88,925.24,354.93,301.53,18.11,46.18,-2.79,-4.34,-5.49,21.9,26.9,48.8,5782,32.1,136,779.45
2003 MAR 16, 030316/0000,2137.01,2336.94,-65.09,-32.89,N/A,800.62,294.25,942.24,349.19,299.32,17.1,43.71,1.06,-3.36,-4.16,19.1,25.1,44.2,5763,28.5,N/A,775.98
2003 MAR 17, 030317/0000,2671.54,2883.53,-25.41,-20.82,N/A,883.43,294.76,937.75,352.22,300.25,17.69,50.53,-0.6,-4.62,-5.47,21.3,24.5,45.8,5765,36.1,N/A,869.93
2003 MAR 18, 030318/0000,316.61,437.16,-170.54,-133.65,266.88,713.2,292.01,905.11,345.77,300.48,15.43,47.95,0.82,-1.51,-2.4,19.1,25.1,44.2,5778,33.1,265.91,680.36
2003 MAR 19, 030319/0000,1475.34,1616.95,-129.36,-76.39,164.69,762.91,294.27,946.17,348.63,298.99,16.99,46.14,1.9,-4.35,-4.96,17.7,26.7,44.4,5756,27.19,165.38,738.77
2003 MAR 20, 030320/0000,3326.46,3482.75,-15.52,-10.57,N/A,878.6,295.7,965.99,351.79,298.66,18.2,57.12,-4.56,-6.67,-7.24,25.1,27.1,52.2,5750,38.3,N/A,854.38
2003 MAR 21, 030321/0000,3409.21,3632.33,-15.24,-11.04,123.46,888.94,294.29,936.88,350.24,299.83,17.2,46.85,-2.39,-5.33,-6.34,23.3,25.5,48.8,5749,33.5,124.96,876.36
2003 MAR 22, 030322/0000,3749.67,4072.09,-40.52,-13.45,N/A,861.98,295.32,933.89,355.49,301.17,18.5,37.51,-1.74,-5.53,-6.69,21.7,25.9,47.6,5767,31.9,N/A,769.59
2003 MAR 23, 030323/0000,3274.13,3638.97,-106.36,-75.19,119.68,840.12,295.97,933.79,358.59,301.85,19.18,36.5,2.04,-4.92,-6.18,16.5,26.5,43,5799,N/A,120.14,818.05
2003 MAR 25, 030325/0000,346.18,518.61,-59.74,-20.45,355.12,856.65,289.72,898.41,337.88,298.74,13.53,25.52,5.95,-2.15,-2.84,14.3,25.3,39.6,5705,10.7,354.37,770.8
2003 MAR 26, 030326/0000,2999.16,3227.42,-5.4,-3.61,120.42,921.29,295.94,952.81,355.12,300.08,18.74,54.05,0.76,-4.8,-5.55,19.7,24.1,43.8,5773,33.3,119.25,908.02
2003 MAR 27, 030327/0000,3762.27,4119.29,-42.58,-46.58,N/A,894.48,298.03,949.81,366.17,302.49,21.43,57.62,-1.5,-8.99,-10.24,22.9,23.1,46,5741.63,32.1,N/A,893.76
2003 MAR 31, 030331/0000,3465.51,3757.89,0,0,N/A,966.35,296.79,966.35,356.89,299.72,19.48,48.29,1.35,-5.77,-6.97,19.8,23.1,42.9,5750,35.9,N/A,966.35
2003 APR 1, 030401/0000,3012.76,3316.06,-4,-0.63,122.55,933.64,295.28,937.35,354.68,300.81,18.34,49.37,-0.57,-4.66,-5.73,21.2,23.9,45.1,5750,27.04,123.77,915.63
